,question,options,rationale,correct,cluster,index
89939,"The average of 11 results is 42, if the average of first five results is 49 and that of the last seven is 52. Find the fifth result?","['A)145', 'B)146', 'C)147', 'D)148', 'E)149']","1 to 11 = 11 * 42= 462
1 to 5 = 5 * 49 = 245
5 to 11 = 7 * 52 = 364
5th = 245 + 364 – 462 = 147
ANSWER:C",C,0,11328
56869,"The compound ratio of 2/3, 6/7, 1/3 and 1/8 is given by?","['A)1/56', 'B)1/42', 'C)1/40', 'D)1/41', 'E)1/47']","2/3 * 6/7 * 1/3 * 1/8 = 1/42
Answer:B",B,1,50471
62077,"Two cars are traveling towards each other. If car A is traveling at a speed of 50 mph and car B is traveling 12% slower, how much time will it take the cars to meet if the initial distance between the two is 705 miles?","['A)Six hours and 30 minutes.', 'B)Seven hours and 30 minutes.', 'C)Eight hours and 20 minutes.', 'D)Nine hours and 15 minutes.', 'E)Ten hours and 20 minutes.']","since they are travelling towards each other, the total speed is 50 mph + 50*0.88 = 94 mph (0.88 since, the other car is 12% less than first one)
Distance to be covered is 705, so time taken = distance/speed = 705/94 = 7.5 hours or 7 hours and 30 mins.
Answer is B: Seven hours and 30 minutes.",B,2,54361
14873,"If x < y < 0, which of the following must be true?","['A)x+y is a positive integer', 'B)x+y is a negative integer', 'C)xy is a negative integer', 'D)x/y is a negative integer', 'E)2x/y is a negative integer']","Given x, y are less than 0. So both will be negative integers
negative + negative = negative
negative * negative = positive
negative / negative = positive
So, option B is true and all others are false.
Answer : B",B,3,26780
5733,"A certain company plans to sell Product X for p dollars per unit, where p is randomly chosen from all possible positive values not greater than 100. The monthly manufacturing cost for Product X (in thousands of dollars) is 12 - p, and the projected monthly revenue from Product X (in thousands of dollars) is p(6 - p). If the projected revenue is realized, what is the probability that the company will NOT see a profit on sales of Product X in the first month of sales?","['A)0', 'B)1/100', 'C)1/25', 'D)99/100', 'E)1']","Profit=Revenue-Cost=p(6 - p)-(12-p).
Let's see for which range of p company will see a profit on sales, so for which range of p the following holds true: p(6−p)−(12−p)>0 --> 6p−p2−12+p>0 --> p2−7p+12<0 --> (p−4)(p−3)<0 --> 3<p<4. So the probability that company will see a profit on sales is 1100 (1 unit range of p out of 100).
The probability that the company will NOT see a profit on sales is 1−1100=99100.
Answer: D.",D,4,20568
64200,The average weight of 16 boys in a class is 50.25 kg and that of the remaining 8 boys is 45.15 kg. Find the average weights of all the boys in the class.,"['A)48', 'B)48.55', 'C)46', 'D)34.5', 'E)50.0']","Avg weight of 16 boys = 50.25
tot weight of 16 boys = 50.25 * 16
avg weight of remaining 8 boys = 45.15
tot weight of remaining 8 boys=45.15*8
tot weight of remaining 8 boys = 45.15 * 8
tot weight of all boys = 50.25 * 16 + 45.15*18
=24
avg weight=(50.25*16)+(45.15*8)/24=48.55
ANSWER B",B,0,64785
22102,"4/15 of 5/7 of a number is greater than 4/9 of 2/5 of the same number by 8.
What is half of that number?","['A)315', 'B)310', 'C)314', 'D)318', 'E)319']","Let the number be x. then 4/15 of 5/7 of x-4/9 of 2/5 of x=8<=>4/21x-8/45x=8
<=>(4/21-8/45)x=8<=>(60-56)/315x=8<=>4/315x=8
x=(8*315)/4=630<=>1/2x=315
Answer is A.",A,1,51944
57512,"Two persons starting from the same place walk at a rate of 9kmph and 12.5kmph respectively. What time will they take to be 24.5km apart, if they walk in the same direction?","['A)7 hrs', 'B)22 hrs', 'C)5 hrs', 'D)12 hrs', 'E)16 hrs']","The relative speed of the boys = 12.5kmph – 9kmph
= 3.5 kmph
Distance between them is 24.5 km
Time= 24.5km / 3.5 kmph = 7 hrs
Answer : A",A,2,24502
74165,The sum of three consecutive even numbers is 60. Find the middle number of the three?,"['A)14', 'B)60', 'C)18', 'D)70', 'E)45']","Three consecutive even numbers (2P - 2), 2P, (2P + 2).
(2P - 2) + 2P + (2P + 2) = 60
6P = 60 => P = 10.
The middle number is: 10P = 60.
ANSWER:B",B,3,803
55809,"A sun is divided among X, Y and Z in such a way that for each rupee X gets, Y gets 45 paisa and Z gets 30 paisa. If the share of Y is RS. 63, what is the total amount?","['A)166', 'B)105', 'C)178', 'D)177', 'E)245']","x:y:z = 100:45:30
20:9:6
9 --- 63
35 --- ? => 245
Answer: E",E,4,60019
75718,The total age of A and B is 15 years more than the total age of B and C. C is how many year younger than A,"['A)11', 'B)12', 'C)13', 'D)14', 'E)15']","Explanation:
Given that A+B = 15 + B + C
=> A ? C = 15+ B ? B = 15
=> C is younger than A by 15 years
Answer: Option E",E,0,39762
28131,"Rs. 5200 is divided into three parts A, B and C. How much A is more than C if their ratio is 1/2:1/3:1/4?","['A)1600', 'B)1500', 'C)1200', 'D)600', 'E)100']","1/2:1/3:1/4
= 6:4:3
3/13*5200
= 1200
Answer: C",C,1,15570
34225,A train 400 m long passed a pole in 40 sec. How long will it take to pass a platform 600 m long?,"['A)28 sec', 'B)100 sec', 'C)85 sec', 'D)16 sec', 'E)15 sec']","Speed = 400/40 = 10 m/sec.
Required time = (400 + 600)/10
= 100 sec.
Answer:B",B,2,30882
86398,"Each digit 1 through 5 is used exactly once to create a 5-digit integer. If the 3 and the24 cannot be adjacent digits in the integer, how many 5-digit integers are possible?","['A) 48', 'B) 72', 'C) 76', 'D) 78', 'E) 90']","Number of arrangements using 5 distinct digits = 5!
Number of arrangements in which 3 and 4 are adjacent - consider 3 and 2 together as one group. Now you have 4 numbers/groups to arrange which can be done in 4! ways. In each of these arrangements, 3 and 2 can be arranged as 32 or 23.
Number of arrangements in which 3 and 4 are not adjacent = 5! - 2*4! = 72
Answer : B",B,3,22534
93199,"A person purchases 90 clocks and sells 40 clocks at a gain of 10% and 50 clocks at a gain of 20%. If he sold all of them at a uniform profit of 15%, then he would have got Rs. 40 less. The cost price of each clock is?","['A)16', 'B)26', 'C)80', 'D)26', 'E)92']","Let C.P. of clock be Rs. x.
Then, C.P. of 90 clocks = Rs. 90x.
[(110% of 40x) + (120% of 50x)] - (115% of 90x) = 40
44x + 60x - 103.5x = 40
0.5x = 40 => x = 80
Answer:C",C,4,17312
37606,"A certain stock exchange designates each stock with a 1, 2, or 3 letter code, where each letter is selected from the 26 letters of the alphabet. If the letters may be repeated and if the same letters used in a different order constitute a different code, how many different stocks is it possible to uniquely designate with these codes?","['A)2,951', 'B)8,125', 'C)15,600', 'D)16,302', 'E)18,278']","if each letter is the same: 26 different combinations
2 letters the same 26^2
all different 26^3
26^3 + 26^2 + 26 = 18278
Answer E.",E,0,58223
90738,"A unit square is subdivided into a grid composed of 9 squares each with sidelength 1/3 . A circle
is drawn through the centers of the 4 squares in the outermost corners of the grid. Compute the
area of this circle.","['A)1π/9', 'B)3π/9', 'C)5π/9', 'D)7π/9', 'E)2π/9']","The circle's radius lies between the centers of two diagonally adjacent small squares.
Therefore it is equal to the diagonal of one small square, and r =√2/3.The circle's area is thus
2π/9 .
correct answer E",E,1,53042
74630,"A rower can row 7 km/h in still water. When the river is running at 1 km/h, it takes the rower 1 hour to row to Big Rock and back. How many kilometers is it to Big Rock?","['A)3.19', 'B)3.28', 'C)3.35', 'D)3.43', 'E)3.56']","Let x be the distance to Big Rock.
time = x/6 + x/8 = 1
x = 48/14 = 3.43 km
The answer is D.",D,2,18662
62291,"1,257
1,275
1,527
........
........
+7,521
The addition problem above shows four of the 24 different integers that can be formed by using each of the digits 1,2,5 and 7 exactly once in each integer. What is the sum E of the 24 integers ?","['A) 26,996', 'B) 44,406', 'C) 60,444', 'D) 66,660', 'E) 99,990']","This is the way i solved it :
Total no. of different combos = 24, total digits 4 therefore each digit must repeat 24/4 = 6 times in each row .. So the right most row would add up to 1x6 + 2x6 + 5x6 + 7x6 = 6+12+30+42 = 90 .. Each row would add up to 90, so 90 in the first means we have 9 that carries over and we get 0 , the second time its 90+9 and 9 stays and one 9 goes to the row to the left, so the last two digits of the SUM E should be 90 (E) .. We could go on and solve the exact number but since only one answer choice has the last digits as 90 we needn't go any further..",E,3,8864
15032,"The ratio of the incomes of X and Y is 6:4 and the ratio of their expenditure is 5:3. If at the end of the year, each saves $2000 then the income of X is?","['A)$11000', 'B)$10000', 'C)$12000', 'D)$10500', 'E)$10600']","Let the income of X and Y be $6x and $4x
Let their expenditures be $5y and $3y
6x-5y = 2000-------1)
4x-3y = 2000-------2)
From 1) and 2)
2x-2y = 0 => x = y
x = 2000
Income of X 5 * 2000 = $10000
Answer : B",B,4,60635
