,question,choices,answer,unit,table_title,table,table_for_pd,row_num,column_num,solution,ques_type,ans_type,grade,split,cluster,index
29353,Haley recalled how many goals she had made in soccer practice each day. What is the median of the numbers?,,5,,Goals made,"Day | Number of goals
Thursday | 7
Friday | 2
Saturday | 7
Sunday | 5
Monday | 0","{'Day': ['Thursday', 'Friday', 'Saturday', 'Sunday', 'Monday'], 'Number of goals': ['7', '2', '7', '5', '0']}",6,2,"Read the numbers from the table.

7, 2, 7, 5, 0

First, arrange the numbers from least to greatest:

0, 2, 5, 7, 7

Now find the number in the middle.

0, 2, 5, 7, 7

The number in the middle is 5.

The median is 5.",free_text,integer_number,5,train,0,35
4525,Connor and his brother are at a store shopping for a beanbag chair for their school's library. The store sells beanbag chairs with different fabrics and types of filling. What is the probability that a randomly selected beanbag chair is made from suede and is filled with beads? Simplify any fractions.,,4/19,,," | Foam | Beads
Velvet | 4 | 6
Suede | 5 | 4","{'': ['Velvet', 'Suede'], 'Foam': ['4', '5'], 'Beads': ['6', '4']}",3,3,"Let A be the event ""the beanbag chair is made from suede"" and B be the event ""the beanbag chair is filled with beads"".
To find the probability that a beanbag chair is made from suede and is filled with beads, first identify the sample space and the event.
The outcomes in the sample space are the different beanbag chairs. Each beanbag chair is equally likely to be selected, so this is a uniform probability model.
The event is A and B, ""the beanbag chair is made from suede and is filled with beads"".
Since this is a uniform probability model, count the number of outcomes in the event A and B and count the total number of outcomes. Then, divide them to compute the probability.

Find the number of outcomes in the event A and B.
A and B is the event ""the beanbag chair is made from suede and is filled with beads"", so look at the table to see how many beanbag chairs are made from suede and are filled with beads.
The number of beanbag chairs that are made from suede and are filled with beads is 4.

Find the total number of outcomes.
Add all the numbers in the table to find the total number of beanbag chairs.
4 + 5 + 6 + 4 = 19

Find P(A and B).
Since all outcomes are equally likely, the probability of event A and B is the number of outcomes in event A and B divided by the total number of outcomes.
P(A and B) = \frac{# of outcomes in A and B}{total # of outcomes}
 = \frac{4}{19}
The probability that a beanbag chair is made from suede and is filled with beads is \frac{4}{19}.",free_text,decimal_number,8,train,1,1051
30763,How much more does a blender cost than a CD player?,,11.24,$,,"CD player | $18.55
radio | $20.46
telephone | $48.32
CD | $17.75
blender | $29.79
microphone | $22.09","{'Column 1': ['CD player', 'radio', 'telephone', 'CD', 'blender', 'microphone'], 'Column 2': ['$18.55', '$20.46', '$48.32', '$17.75', '$29.79', '$22.09']}",6,2,"Subtract the price of a CD player from the price of a blender.

$29.79 - $18.55 = $11.24

A blender costs $11.24 more than a CD player.",free_text,decimal_number,5,train,2,14395
5342,"Look at the table. Then answer the question. At a price of $1,395, is there a shortage or a surplus?","['shortage', 'surplus']",surplus,,,"Price | Quantity demanded | Quantity supplied
$915 | 21,100 | 2,600
$1,075 | 17,700 | 6,300
$1,235 | 14,300 | 10,000
$1,395 | 10,900 | 13,700
$1,555 | 7,500 | 17,400","{'Price': ['$915', '$1,075', '$1,235', '$1,395', '$1,555'], 'Quantity demanded': ['21,100', '17,700', '14,300', '10,900', '7,500'], 'Quantity supplied': ['2,600', '6,300', '10,000', '13,700', '17,400']}",6,3,"At the price of $1,395, the quantity demanded is less than the quantity supplied. There is too much of the good or service for sale at that price. So, there is a surplus.
",multi_choice,boolean_text,5,train,3,3150
30074,Look at the following schedule. How long does it take to get from the school to the mall?,"['1 hour and 45 minutes', '2 hours and 30 minutes', '15 minutes', '30 minutes']",2 hours and 30 minutes,,Bus schedule,"the post office | 8:00 A.M. | 9:15 A.M. | 9:45 A.M.
the library | 9:00 A.M. | 10:15 A.M. | 10:45 A.M.
the doctor's office | 9:30 A.M. | 10:45 A.M. | 11:15 A.M.
the playground | 10:30 A.M. | 11:45 A.M. | 12:15 P.M.
the school | 10:45 A.M. | 12:00 P.M. | 12:30 P.M.
the grocery store | 11:30 A.M. | 12:45 P.M. | 1:15 P.M.
the science museum | 12:30 P.M. | 1:45 P.M. | 2:15 P.M.
the mall | 1:15 P.M. | 2:30 P.M. | 3:00 P.M.","{'Column 1': ['the post office', 'the library', ""the doctor's office"", 'the playground', 'the school', 'the grocery store', 'the science museum', 'the mall'], 'Column 2': ['8:00 A.M.', '9:00 A.M.', '9:30 A.M.', '10:30 A.M.', '10:45 A.M.', '11:30 A.M.', '12:30 P.M.', '1:15 P.M.'], 'Column 3': ['9:15 A.M.', '10:15 A.M.', '10:45 A.M.', '11:45 A.M.', '12:00 P.M.', '12:45 P.M.', '1:45 P.M.', '2:30 P.M.'], 'Column 4': ['9:45 A.M.', '10:45 A.M.', '11:15 A.M.', '12:15 P.M.', '12:30 P.M.', '1:15 P.M.', '2:15 P.M.', '3:00 P.M.']}",8,4,"Read the times in the first column for the school and the mall.

Find the elapsed time between 10:45 A. M. and 1:15 P. M. The elapsed time is 2 hours and 30 minutes.

No matter which column of times you look at, the elapsed time is always 2 hours and 30 minutes.",multi_choice,other_text,4,train,4,7349
11854,The students in Mr. Robertson's class recorded the number of siblings that each has. How many students have fewer than 2 siblings?,,31,,Siblings,"Number of siblings | Frequency
0 | 19
1 | 12
2 | 13
3 | 9","{'Number of siblings': ['0', '1', '2', '3'], 'Frequency': ['19', '12', '13', '9']}",5,2,"Find the rows for 0 and 1 sibling. Add the frequencies for these rows.

Add:

19 + 12 = 31

31 students have fewer than 2 siblings.",free_text,integer_number,7,train,0,12081
23529,Brittany conducted a blind taste test on some of her friends in order to determine if organic fruits tasted different than non-organic fruits. Each friend ate one type of fruit. What is the probability that a randomly selected friend preferred organic and tasted peaches? Simplify any fractions.,,7/19,,," | Apples | Peaches
Organic | 2 | 7
Non-organic | 7 | 3","{'': ['Organic', 'Non-organic'], 'Apples': ['2', '7'], 'Peaches': ['7', '3']}",3,3,"Let A be the event ""the friend preferred organic"" and B be the event ""the friend tasted peaches"".
To find the probability that a friend preferred organic and tasted peaches, first identify the sample space and the event.
The outcomes in the sample space are the different friends. Each friend is equally likely to be selected, so this is a uniform probability model.
The event is A and B, ""the friend preferred organic and tasted peaches"".
Since this is a uniform probability model, count the number of outcomes in the event A and B and count the total number of outcomes. Then, divide them to compute the probability.

Find the number of outcomes in the event A and B.
A and B is the event ""the friend preferred organic and tasted peaches"", so look at the table to see how many friends preferred organic and tasted peaches.
The number of friends who preferred organic and tasted peaches is 7.

Find the total number of outcomes.
Add all the numbers in the table to find the total number of friends.
2 + 7 + 7 + 3 = 19

Find P(A and B).
Since all outcomes are equally likely, the probability of event A and B is the number of outcomes in event A and B divided by the total number of outcomes.
P(A and B) = \frac{# of outcomes in A and B}{total # of outcomes}
 = \frac{7}{19}
The probability that a friend preferred organic and tasted peaches is \frac{7}{19}.",free_text,decimal_number,8,train,1,14031
4945,How much money does Hannah need to buy a ballet ticket and 7 orchestra tickets?,,443,$,,"dance performance ticket | $29.00
play ticket | $32.00
figure skating ticket | $41.00
ballet ticket | $37.00
opera ticket | $76.00
orchestra ticket | $58.00","{'Column 1': ['dance performance ticket', 'play ticket', 'figure skating ticket', 'ballet ticket', 'opera ticket', 'orchestra ticket'], 'Column 2': ['$29.00', '$32.00', '$41.00', '$37.00', '$76.00', '$58.00']}",6,2,"Find the cost of 7 orchestra tickets.

$58.00 × 7 = $406.00

Now find the total cost.

$37.00 + $406.00 = $443.00

Hannah needs $443.00.",free_text,integer_number,8,train,2,9361
32013,"Look at the table. Then answer the question. At a price of $1,045, is there a shortage or a surplus?","['shortage', 'surplus']",surplus,,,"Price | Quantity demanded | Quantity supplied
$665 | 15,500 | 16,200
$855 | 13,700 | 17,300
$1,045 | 11,900 | 18,400
$1,235 | 10,100 | 19,500
$1,425 | 8,300 | 20,600","{'Price': ['$665', '$855', '$1,045', '$1,235', '$1,425'], 'Quantity demanded': ['15,500', '13,700', '11,900', '10,100', '8,300'], 'Quantity supplied': ['16,200', '17,300', '18,400', '19,500', '20,600']}",6,3,"At the price of $1,045, the quantity demanded is less than the quantity supplied. There is too much of the good or service for sale at that price. So, there is a surplus.
",multi_choice,boolean_text,5,train,3,9826
7900,Look at the following schedule. Marshall got on the train at Rollercoaster Land at 5.45 A.M. What time will he get to Floral Gardens?,"['3:30 P.M.', '5:00 P.M.', '5:15 A.M.', '6:45 A.M.']",6:45 A.M.,,Train schedule,"Comfy Pillows Resort | 4:15 A.M. | 2:30 P.M. | 10:00 P.M.
Skyscraper City | 4:45 A.M. | 3:00 P.M. | 10:30 P.M.
Pleasant River Campground | 5:15 A.M. | 3:30 P.M. | 11:00 P.M.
Rollercoaster Land | 5:45 A.M. | 4:00 P.M. | 11:30 P.M.
Floral Gardens | 6:45 A.M. | 5:00 P.M. | 12:30 A.M.
Chickenville | 7:15 A.M. | 5:30 P.M. | 1:00 A.M.
Happy Cow Farm | 7:45 A.M. | 6:00 P.M. | 1:30 A.M.","{'Column 1': ['Comfy Pillows Resort', 'Skyscraper City', 'Pleasant River Campground', 'Rollercoaster Land', 'Floral Gardens', 'Chickenville', 'Happy Cow Farm'], 'Column 2': ['4:15 A.M.', '4:45 A.M.', '5:15 A.M.', '5:45 A.M.', '6:45 A.M.', '7:15 A.M.', '7:45 A.M.'], 'Column 3': ['2:30 P.M.', '3:00 P.M.', '3:30 P.M.', '4:00 P.M.', '5:00 P.M.', '5:30 P.M.', '6:00 P.M.'], 'Column 4': ['10:00 P.M.', '10:30 P.M.', '11:00 P.M.', '11:30 P.M.', '12:30 A.M.', '1:00 A.M.', '1:30 A.M.']}",7,4,"Find 5:45 A. M. in the row for Rollercoaster Land. That column shows the schedule for the train that Marshall is on.

Look down the column until you find the row for Floral Gardens.

Marshall will get to Floral Gardens at 6:45 A. M.",multi_choice,extractive_text,4,train,4,8071
