,Unnamed: 0,question,answer,cluster,index
4456,4456,"Each class uses 200 sheets of paper per day. The school uses a total of 9000 sheets of paper every week. If there are 5 days of school days, how many classes are there in the school?","Each class uses 200 x 5 = <<200*5=1000>>1000 sheets of paper in a week.
Thus, there are 9000/1000 = <<9000/1000=9>>9 classes in the school.
#### 9",0,314
4390,4390,"If Jenna has twice as much money in her bank account as Phil does, and Phil has one-third the amount of money that Bob has in his account, and Bob has $60 in his account, how much less money does Jenna have in her account than Bob?","If Phil has one-third of the amount that Bob does, that means he has $60/3= $<<60/3=20>>20 in his account.
Since Jenna has twice as much money as Phil, that means she has $20*2= <<20*2=40>>40 in her account.
Since Bob has $60 in his account, that means he has $60-$40=$<<60-40=20>>20 more than Jenna.
#### 20",1,3100
6407,6407,"Carlos bought a box of 50 chocolates. 3 of them were caramels and twice as many were nougats. The number of truffles was equal to the number of caramels plus 6.  The rest of the chocolates were peanut clusters. If Carlos picks a chocolate at random, what is the percentage chance it will be a peanut cluster?","First find the number of nougats by doubling the number of caramels: 3 caramels * 2 nougats/caramel = <<3*2=6>>6 nougats
Then find the number of truffles by adding 7 to the number of caramels: 3 caramels + 6 = <<3+6=9>>9 truffles
Then find the number of peanut clusters by subtracting the number of each other chocolate from the total number of chocolates: 50 chocolates - 3 caramels - 6 nougats - 9 truffles = <<50-3-6-9=32>>32 peanut clusters
Finally, divide the number of peanut clusters by the total number of chocolates and multiply by 100% to find the percentage chance he gets a peanut cluster: 32 peanut clusters / 50 chocolates *100% = 64%
#### 64",2,4713
3777,3777,"Janet has 60 less than four times as many siblings as Masud. Carlos has 3/4 times as many siblings as Masud. If Masud has 60 siblings, how many more siblings does Janet have more than Carlos?","If Masud has 60 siblings, and Carlos has 3/4 times as many siblings as Masud, Carlos has 3/4*60=<<60*3/4=45>>45 siblings.
Four times as many siblings as Masud has is 4*60=<<4*60=240>>240
Janet has 60 less than four times as many siblings as Masud, a total of 240-60=<<240-60=180>>180 siblings.
The number of siblings Janet have more than Carlos is 180-45=<<180-45=135>>135
#### 135",3,4861
1779,1779,"Gavin has had 4 dreams every day for a year now. If he had twice as many dreams last year as he had this year, calculate the total number of dreams he's had in the two years.","Since a year has 365 days, if Gavin has been having 4 dreams every day for a year now, he has had 4*365 = <<4*365=1460>>1460 dreams this year.
Gavin had twice as many dreams last as he had this year, meaning he had 2*1460 = <<2*1460=2920>>2920 dreams last year.
The total number of dreams he has had in the two years is 2920+1460=<<2920+1460=4380>>4380 dreams.
#### 4380",4,771
3920,3920,"There are 4 alligators living on a golf course in Florida. If the number of alligators doubles every six months, how many alligators will there be at the end of a year?","First figure out how many times the alligator population doubles in one year by dividing the number of months in a year by the number of months it takes the population to double: 12 months / 6 months = <<12/6=2>>2. The alligator population doubles twice.
Now double the alligator population once: 4 alligators * 2 = <<4*2=8>>8 alligators
Now double it again: 8 alligators * 2 = <<8*2=16>>16 alligators
#### 16",0,3644
2783,2783,"Jude bought three chairs for his house, all at the same price. He also bought a table that costs $50 and two sets of plates at $20 for each set. After giving the cashier $130, Jude got a $4 change. How much did each of the chairs cost?","The two sets of plates amount to $20 x 2 = $<<20*2=40>>40.
So the table and the two sets of plates amount to $50 + $40 = $<<50+40=90>>90 in all.
Since Jude received a $4 change, then he paid a total of $130 - $4 = $<<130-4=126>>126 for the chairs, tables, and plates.
Thus, the three chairs cost $126 - $90 = $<<126-90=36>>36.
Therefore, each chair cost $36/3 = $<<36/3=12>>12.
#### 12",1,4394
7376,7376,"Janette went camping for 5 days. She brought along 40 pieces of beef jerky. She wants to ration it out so that she can eat 1 for breakfast, 1 for lunch, and 2 for dinner each day. When she returns from the trip, she plans on giving half of the remaining pieces to her brother. How many pieces of beef jerky will she have left once she does this?","Each day she eats a total of 1 + 1 + 2 = <<1+1+2=4>>4 pieces of jerky.
For the entire trip, she will consume a total of 4 * 5 = <<4*5=20>>20 pieces of jerky.
She gives half to her brother, which will leave her a total of 20 / 2 = <<20/2=10>>10 pieces of jerky.
#### 10",2,2108
5493,5493,"Christina's age will be half of 80 years in five years to come. If Oscar will be 3/5 times as old as Christina is now in 15 years, calculate Oscar's age now.","Christina's age will be half of 80 in five years to come, meaning in five years, Christina's age will be 1/2*80=40 years.
If in five years Christina will be 40, currently she is 40-5=<<40-5=35>>35 years old.
Oscar will be 3/5 times as old as Christina is now in 15 years, meaning he will be 3/5*35=<<3/5*35=21>>21 years old in 15 years.
Currently, Oscar is 21-15=<<21-15=6>>6 years old.
#### 6",3,2684
4895,4895,"Christina and her friend are driving across the state. When Christina is driving the speed limit is 30 miles per hour. When her friend is driving, the speed limit is 40 miles per hour. The drive is 210 miles total. If her friend drives for 3 hours and both drive at the speed limit, how many minutes will Christina drive?","The friend drives 40*3=<<40*3=120>>120 miles.
Thus, Christina drives 210-120 =<<210-120=90>>90 miles.
Since the speed limit is 30 miles per hour when Christina is driving, she drives for 90/30=<<90/30=3>>3 hours.
Thus, she drives for 3*60=<<3*60=180>>180 minutes.
#### 180",4,3796
1427,1427,"The total number of dogs at an animal rescue center is 200. Mr. Tanner, the manager at the rescue center, gets a call that 100 dogs at another rescue center are to be moved because of weather problems. He agrees to bring the dogs to his rescue center, and after one week, gives out 40  animals for adoption. After a month, 60 more dogs were adopted by dog lovers. What's the total number of remaining animals in the adoption center after the last adoptions?","After taking in 100 more dogs, the number of dogs in the rescue center increased to 200+100 = 300.
After a week, the number of dogs was reduced to 300 - 40 = <<300-40=260>>260 after the adoptions.
So, there are 260 - 60 = 200 dogs left after 60 more dogs were adopted.
#### 200",0,1149
5236,5236,John decides to buy a month's supply of dog treats.  He gives his dog 2 treats a day and they cost $.1 each.  How much does he spend on the treats if the month is 30 days long?,"He gives his dog 2*30=<<2*30=60>>60 treats for the month
So that means it cost 60*.1=$<<60*.1=6>>6
#### 6",1,4428
3760,3760,"Clementine, Jake, and Tory make cookies for the school bake sale. Clementine baked 72 cookies. Jake baked twice as many cookies as Clementine. Tory baked half as many cookies as Jake and Clementine combined. They sell their cookies for $2 each. If they sell all their cookies, how much money do they make?","Clementine baked 72 cookies.
Jake baked 72 x 2 = <<72*2=144>>144 cookies.
Tory baked 216 / 2 = <<216/2=108>>108 cookies.
Together they baked 72 + 144 + 108 = <<72+144+108=324>>324 cookies
They raised 324 x 2 = $ <<324*2=648>>648
#### 648",2,3510
3757,3757,"In 5 years, Heath will be 3 times as old as Jude.  If Heath is 16 years old today, how old is Jude today?","In 5 years, Heath will be 16 + 5 = <<16+5=21>>21 years old.
In 5 years, Jude will be 21 / 3 = <<21/3=7>>7 years old.
The difference in their ages is 21 - 7 = <<21-7=14>>14 years.
Today, Jude will be 16 - 14 = <<16-14=2>>2 years old.
#### 2",3,870
5609,5609,"John plays a game for 4 hours a day every day for 2 weeks.  After all that time, he is only 40% done.  He increased his playtime to 7 hours a day.  How long until he finishes the game?","There are 7*2=<<7*2=14>>14 days in two weeks
So he played 14*4=<<14*4=56>>56 hours
That means the total length of the game is 56/.4=<<56/.4=140>>140 hours
So he has 140-56=<<140-56=84>>84 hours to beat the game
So it will take him 84/7=<<84/7=12>>12 days to beat the game
#### 12",4,703
1709,1709,"A Whatsapp group has members sending messages every day sharing about how each one's day was. Last week, 300 messages were sent by the members on Monday, 200 messages on Tuesday, 300 more messages on Wednesday than the previous day, and two times as many messages on Thursday as there were on Wednesday. Calculate the number of messages sent in the Whatsapp group after the four days.","The total number of messages sent last week on Monday and Tuesday is 300+200 = <<300+200=500>>500 messages.
On Wednesday, the number of messages was 300 more than the previous day, a total of 300+200 = <<300+200=500>>500 messages.
In total, in the three days, the number of messages sent is 500+500 = <<500+500=1000>>1000 messages,
On Thursday, the number of messages sent was two times the number sent on Wednesday, totaling 2*500 = <<2*500=1000>>1000 messages.
In the four days. the number of messages sent is 1000+1000 = <<1000+1000=2000>>2000
#### 2000",0,3192
1013,1013,"Justin bought some jerseys. He bought four long-sleeved ones that cost $15 each, and some striped ones that cost $10 each. How many striped jerseys did Justin buy if he spent a total of $80?","Four long-sleeved jerseys cost $15 x 4 = $<<15*4=60>>60.
So the striped jerseys amount to $80 - $60 = $<<80-60=20>>20.
Hence, Justin bought $20/$10= <<20/10=2>>2 striped jerseys.
#### 2",1,2420
2277,2277,Davante has twice as many friends as there are days in the week. 3 of his friends are girls. How many friends does he have that are boys?,"Davante has 14 friends because 2 times 7 equals <<2*7=14>>14
Davante has 11 friends who are boys because 14-3 equals <<11=11>>11
#### 11",2,1412
