,id,question,answer,facts,decomposition,cluster,index
1376,960c1546ad5913f5c302,Did U2 play a concert at the Polo Grounds?,No,"['U2 is an Irish rock band that formed in 1976.', 'The Polo Grounds was a sports stadium that was demolished in 1964.']","['When was U2 (Irish rock band) formed?', 'When was the Polo Grounds demolished?', 'Is #1 before #2?']",0,1238
0,cc6e607ec6b68023be26,"Can you fit every resident of Auburn, New York, in Tropicana Field?",Yes,"['The capacity of Tropicana Field is 36,973', 'The population of Auburn, NY is 27,687']","['What is the capacity of Tropicana Field?', 'What is the population of Auburn, NY?', 'Is #1 greater than #2?']",1,1153
1595,8b41a17e65ef7f6e22b5,"During the pandemic, is door to door advertising considered inconsiderate?",Yes,"['Door to door advertising involves someone going to several homes in a residential area to make sales and leave informational packets.', 'During the COVID-19 pandemic, the CDC recommends that people limit their travel to essential needs only.', 'During the COVID-19 pandemic, citizens are advised to stay home and to limit their interaction with others.', 'During the COVID-19 pandemic, people are encouraged to remain six feet away from each other at all times.', 'The more people that someone interacts with, the higher the likelihood of them becoming a vector for the COVID-19 virus.']","['What does door to door advertising involve a person to do?', 'During the COVID-19 pandemic, what does the CDC advise people to do in terms of traveling?', 'During the COVID-19 pandemic, what does the CDC advise people to do in terms of interaction with others?', 'Does doing #1 go against #2 and #3?']",2,231
428,4ba70839df733c61f9a5,Do you need to worry about Zika virus in Antarctica? ,No,"['Mosquitoes cannot survive in the climate of Antarctica.', 'Zika virus is primarily spread through mosquito bites. ']","['What animal spreads the Zika Virus?', 'What is the climate of Antarctica?', 'Can #1 survive in #2?']",3,642
1274,598be3dcddbd7775a827,Could Bob Marley's children hypothetically win tug of war against Kublai Khan's children?,No,"['Bob Marley had 9 children.', 'Kublai Khan had 23 children.', ""Many of Bob Marley's children became singers, and followed his themes of peace and love."", 'The children of Kublai Khan followed in his footsteps and were fierce warlords.']","['How many children did Bob Marley have?', 'How many children did Kublai Khan have?', 'Is #1 greater than #2?']",4,1516
431,52a0dd337fb870fa3eb8,Has Oscar Wilde's most famous character ever been in an Eva Green project?,Yes,"['Oscar Wilde is most famous for his book The Picture of Dorian Gray.', 'Dorian Gray is a beautiful socialite that is the main character of The Picture of Dorian Gray.', 'Acclaimed actress, Eva Green has starred in numerous films and TV shows including Penny Dreadful.', 'Dorian Gray flirts with Vanessa Ives in the Penny Dreadful episode, Seance.', 'Vanessa Ives is played by Eva Green.']","[""What is Oscar Wilde's most famous book?"", 'Who is the main character of #1?', 'What episode of Penny Dreadful was #2 in?', 'Is one of the characters in #3 played by Eva Green?']",0,1349
1295,30c3a32157acb4861555,Could someone theoretically use an armadillo as a shield?,Yes,"['Armadillos have hard armor made of dermal bone.', ""Humans have ended up in the hospital due to bullets ricocheting against an armadillo's shell.""]","['What are the basic features of a shield?', ""Does any part of the armadillo's body possess any of #1?""]",1,1171
822,16ced51d31cc386aa343,Are some types of pancakes named after coins?,Yes,"['Silver dollar pancakes are a variety that is smaller than traditional pancakes.', 'Silver dollars are a type of American coin.']","['What are some common types of pancakes?', 'Is any of #1 named after a coin?']",2,831
1546,a8f96cb3309095eeadc6,Are the headquarters of All Nippon Airways near a beach?,No,"['The headquarters of All Nippon Airways are located in Shiodome City Center in the Shiodome area of the Minato ward of Tokyo.', 'Tokyo is a metropolitan area.', 'A beach is a landform alongside a body of water.', 'Metropolitan areas typically do not have bodies of water in the surrounding area.']","['Where city are the headquarters of All Nippon Airways?', 'What kind of development area is #1?', 'What is a beach characterized as?', 'Do #2 areas typically have #3?']",3,782
1350,f23d09094b35ceab6d54,Was the Treaty of Versailles settled over blueberry scones?,No,"['Blueberries are native to North America.', ""Blueberries did not come to Europe until the 1930's."", 'The treaty of Versailles was made effective in 1920. ']","['Where was the The Treaty of Versailles settled?', 'When did blueberries first go over to #1?', 'When was The Treaty of Versailles settled?', 'Did #2 occur before #3?']",4,1043
591,2a9cf64b15df1b841f25,Does Santa Claus hypothetically give Joffrey Baratheon presents?,No,"['Santa Claus is a figure in folklore that gives good children presents and bad children coal.', 'Joffrey Baratheon is a character in the Game of Thrones TV series.', ""Joffrey is a young royal that has a man's tongue cut out."", 'Joffrey shoots his crossbow into the flesh of innocent people for his amusement.']","['What kind of children would Santa Claus give presents to?', ""What is Joffrey Baratheon's character like?"", 'Do #1 usually exhibit #2?']",0,981
1717,cea31f260dfec9aa0f1f,Would a monkey outlive a human being on average?,No,"['The average human lifespan is 79 years.', 'The longest-lived monkey species have a lifespan about 45-50 years in captivity.']","['How long does the average human live?', 'What is the longest lifespan of a monkey?', 'Is #2 larger than #1?']",1,853
739,1977a974cf1b946ea1e5,If someone loves buffalo wings do they enjoy capsaicin?,Yes,"['Buffalo wings are fried chicken wings covered in a spicy sauce.', 'Spicy foods are provided their spice from capsaicin from peppers.']","['What sauce is used on buffalo wings?', 'What is the flavor of #1', 'Is capsaicin used to create #2?']",2,1760
1155,af9206e49f97ed8e3b61,Has mummification in the Andes been prevented by rainfall?,No,"['The Andes includes high, dry zones without precipitation.', 'Dry climates do not impede mummification.', 'Many mummies have been found in the Andes.']","['What type of climate is present in the Andes?', 'Does #1 cause rainfall?']",3,815
807,27fc311d200f621edcbc,Is the Flying Spaghetti Monster part of an ancient pantheon?,No,"['Ancient polytheistic religions are generally no longer popular in Western culture.', 'The Church of the Flying Spaghetti Monster was established in 2006 after the creation of the FSM itself in 2005.']","['What time period is considered ancient?', 'What religion is the Flying Spaghetti Monster part of?', 'Was #2 established during #1?']",4,1725
460,26813dc7504fd7355c8c,Does Magnus Carlsen enjoy KFC?,No,"['Magnus Carlsen is a chess grandmaster from Norway', 'There are no KFC locations in Norway']","['What country is Magnus Carlsen from?', 'In what countries does KFC have a location?', 'Is #1 included in #2?']",0,1021
1548,93264708b0d600fb9650,Would a fungal life-form be threatened by a pigment from copper?,Yes,"['Verdigris is a pigment made from copper', 'Verdigris is also used as a fungicide ']","['Which element is the pigment verdigris derived from?', 'Is #1 copper and verdigris also used as a fungicide?']",1,316
1562,26cfd3b238056cc1dc82,Can vitamin C rich fruits be bad for health?,Yes,"['Oranges are fruits that are rich in vitamin C.', 'Oranges are very acidic fruits that can wear down tooth enamel.', 'Too much Vitamin C can cause nausea and diarrhea.']","['Which vitamin are oranges rich in?', 'Is #1 the same as vitamin C?', ""Can excess of #1 be harmful to a person's health?"", 'Can the acidity of oranges have adverse effects on human consumers?', 'Are #2, #3 and #4 positive?']",2,1099
1141,d05b8ed82dbe1583b16c,Does a person need to be a parent to become a grandparent?,Yes,"['Parents care for their children.', 'When the children grow up and have kids of their own, the parents become grandparents to those kids.', 'A person who is not a parent has no kids, therefore nobody to produce grandchildren for them.']","['What must a person have in order to be known as a grandparent?', 'What would the parents of #1 be to the person?', 'Must one be a parent to have #2?']",3,516
1793,6f0b33d71d2e65d3b376,Did a Polish poet write sonnets about Islamic religion?,Yes,"['Adam Mickiewicz was a Polish poet. ', ""Adam Mickiewicz 's sonnet sequence focuses heavily on the culture and Islamic religion of the Crimean Tatars.""]","[""What were the major focus of Adam Mickiewicz's sonnets?"", 'Is #1 about Islamic religion?', 'Was Adam Mickiewicz a Polish poet?', 'Are #2 and #3 positive?']",4,382
