,question,options,rationale,correct,cluster,index
86358,"In certain year in Country C, x sets of twins and y sets of triplets were born. If there were z total babies born in Country C in this year, and x and y were both greater than 0, which of the following represents the fraction Q of all babies born who were NOT part of a set of twins or triplets?","['A)z - 2x - 3y', 'B)(2x+3y)/z', 'C)(x+y)/z', 'D)1 - (2x+3y)/z', 'E)1 - (x+y)/z']","X set of twins implies 2x babies of twin category.
Y set of triplets means 3y babies of triplet category.
Let K be the babies other than twin or triplet category.
Total babies = z = 2x+3y+k.
or K=Z-(2x+3y)
=> Fraction of babies other than twin or triplet categories = K/Z = Z-(2x+3y)/Z.
Q= 1- (2x+3y)/Z. Hence answer is D.",D,0,55718
62632,The perimeter of a rhombus is 68 cm and one of its diagonals is 16 cm. Find its area?,"['A)399', 'B)240', 'C)882', 'D)378', 'E)2131']","4a = 68 => a = 17
172 – 82 = 152
1/2 * 16 * 30 = 240
Answer: B",B,1,7803
72692,"A rectangular lawn of dimensions 90 m * 60 m has two roads each 10 m wide running in the middle of the lawn, one parallel to the length and the other parallel to the breadth. What is the cost of traveling the two roads at Rs.3 per sq m?","['A)A)4200', 'B)B)930', 'C)C)9309', 'D)D)3900', 'E)E)8302']","Explanation:
Area = (l + b – d) d
(90 + 60 – 10)10 => 1400 m2
1400 * 3 = Rs.4200
Answer: Option A",A,2,64937
33200,"a is the hundreds digit of the three digit integer x, b is the tens digit of x, and c is the units digit of x. 3a = b = 3c, and a > 0.
What is the difference between the two greatest possible values of x?
Tip: Dont stop till you have exhausted all answer choices to arrive at the correct one.","['A)131', 'B)292', 'C)394', 'D)424', 'E)969']","Ratio of a:b:c= 1:3:1
Two possible greatest single digit values for b are 9 and 6
if b is 9, then x= 393
if b is 6, then x= 262
difference= 393-262= 131
A is the answer",A,3,33481
88083,The population of a town is 10000. It increases annually at the rate of 20% p.a. What will be its population after 3 years?,"['A)14300', 'B)17280', 'C)14500', 'D)14600', 'E)15400']","Formula :
( After =100 denominator
Ago = 100 numerator)
10000 × 120/100^3 = 17280
B)",B,4,22767
31309,"A miniature gumball machine contains 4 blue, 3 green, and 2 red gumballs, which are identical except for their colors. If the machine dispenses three gumballs at random, what is the probability that it dispenses one gumball of each color?","['A)2/7', 'B)3/7', 'C)3/14', 'D)5/24', 'E)7/24']","The total number of ways to dispense 3 gumballs is 9C3=84.
The number of ways to choose one of each color is 4*3*2=24.
P(dispensing one of each color)=24/84=2/7.
The answer is A.",A,0,38314
47343,"Find the value of * in the following
(1 5/3) ÷ 3/11 × */11 = (2 2/3 × 7/5 × 6/7)","['A)3.2', 'B)3.4', 'C)3.6', 'D)3.8', 'E)4']","3.6
Option 'C'",C,1,27563
46234,A woman begins bicycling with a pace of 8 kmph and she increases her pace every two hours by 2 kmph. She does not increase her pace as soon as her pace reaches her maximum speed of 12 kmph. How many hours did she bicycle if she traveled 64 kms?,"['A)6 1â\x81„7 hours', 'B)6 2â\x81„7 hours', 'C)8 2â\x81„7 hours', 'D)Cannot be determined', 'E)None of these']","Distance covered in first two hours = 8 Ã— 2 = 16 km
Distance covered in next two hours = 10 Ã— 2 = 20 km
Distance covered in next two hours = 12 Ã— 2 = 24 km
Distance covered in first six hours
16 + 20 + 24 = 60 km
Remaining distance = 64 â€“ 60 = 4 km.
Now, this distance will be covered at the speed of 12 km/hr.
âˆ´ Time taken = 4â„12 = 1â„3 hour.
Total time= 6 + 1â„3 = 6 1â„3 hour
Answer E",E,2,34277
5489,The units digit of (35)^(87) + (93)^(51) is:,"['A)2', 'B)4', 'C)6', 'D)8', 'E)0']","The units digit of powers of 3, cycles in a group of 4: {3, 9, 7, 1}
51 has the form 4k+3, so the units digit of 93^51 is 7.
The units digit of powers of 5 is always 5.
7+5 = 12, so the units digit is 2.
The answer is A.",A,3,31235
90995,What does RBI regulate through Open Market Operation Transactions?,"['A)Flow of Foreign Direct Investment', 'B)What does RBI regulate through Open Market Operation Transactions?', 'C)Borrowing powers of the banks', 'D)Liquidity in economy', 'E). Inflation']","Explanation:
Outright purchase and Repurchase agreement are the two traditional type of OMO's used by RBI.
ANSWER: D",D,4,22576
