,Unnamed: 0,question,answer,cluster,index
2831,2831,Mandy researched 42 med schools. She applied to 1/3 of the schools she researched and got into half of the schools where she applied. How many schools was Mandy accepted to?,"First find the number of schools Mandy applied to: 42 med schools / 3 = <<42/3=14>>14 med schools
Then divide that number by 2 to find the number of schools where she was accepted: 14 med schools / 2 = <<14/2=7>>7 med schools
#### 7",0,4393
5744,5744,"Olivia and Nigel are traveling in Asia.  Olivia has $112 and Nigel has $139. If together they buy six one day passes to a tourist attraction for $28 per ticket, how much money do they have left?","They have 112+139=$<<112+139=251>>251
The passes cost 6*28=$<<6*28=168>>168
They have 251-168=$<<251-168=83>>83 left.
#### 83",1,2386
2987,2987,Beth is looking at her book collection and is wondering how many comic books she owns. She has 120 books and 65% are novels. 18 are graphic novels. The rest are comic books. What percentage of comic books does she own?,"The proportion of graphic novels is .15 because 18 / 120 = <<18/120=.15>>.15
The percentage of graphic novels is 15 because 100 x .15 = <<100*.15=15>>15
The percentage of comic books is 20 because 100 - 65 - 15 = <<100-65-15=20>>20
#### 20",2,1561
5475,5475,"The chances of making the junior high basketball team start at 10% if you're 66 inches and increase 10% for every additional inch of height. Devin starts out as 65 inches tall, then grows 3 inches. What are his chances of making the basketball team?","First find Devin's new height by adding his growth to the original height: 65 inches + 3 inches = <<65+3=68>>68 inches
Then subtract 66 inches from Devin's height to find how many extra inches of height he has: 68 inches - 66 inches = <<68-66=2>>2 inches
Then multiply the number of extra inches by the percentage increase per inch to find the total percentage increase in his chances: 2 inches * 10%/inch = 20%
Then add the percentage increase to the base percentage to find Devin's overall chance of making the basketball team: 10% + 20% = 30%
#### 30",3,3697
4992,4992,"Pria bought a new car that advertised an estimated gas mileage of 35 miles per gallon. The car has a 12-gallon tank. She filled her car full of gas and was able to drive a total of 372 miles. What was the difference, in miles per gallon, between Pria's mileage and the advertised mileage?","Pria's car achieved a rate of 372 miles / 12 gallons = <<372/12=31>>31 miles per gallon.
Therefore, it was a difference of 35 - 31 = <<35-31=4>>4 miles per gallon.
#### 4",4,4670
4579,4579,A window is made up of 8 glass panes. Each pane has a length of 12 inches and a width of 8 inches. What is the area of the window?,"The area of a glass pane is 8 x 12 = <<8*12=96>>96 sq in
The area of the window is 96 x 8 = <<96*8=768>>768 sq in
#### 768",0,3337
5731,5731,Marian's pending credit card balance is $126.00.  She puts $60.00 worth of groceries on her card and half that amount in gas.  She returned some bath towels for $45.00.  What's the new balance on her credit card?,"Her gas is half the price as her $60.00 groceries so that's 60/2 = $<<60/2=30.00>>30.00 in gas
Her card has a balance of $126.00 and she added $60.00 in groceries and $30.00 in gas for a total of 126+60+30 = $<<126+60+30=216.00>>216.00
Her balance is $216.00 and she returns $45.00 worth of merchandise for a new balance of 216-45 = $<<216-45=171.00>>171.00
#### 171",1,4532
3809,3809,Norma takes her clothes to the laundry. She leaves 9 T-shirts and twice as many sweaters as T-shirts in the washer. When she returns she finds 3 sweaters and triple the number of T-shirts. How many items are missing?,"Norma left 9 T-shirts And twice as many sweaters, she took 9 * 2= <<9*2=18>>18 sweaters
Adding the T-shirts and sweaters, Norma left 9 + 18 = <<9+18=27>>27 clothes
When she came back, she found 3 sweaters And triple the number of T-shirts, she found 3 * 3 = <<3*3=9>>9 T-shirts
Adding the T-shirts and sweaters, Norma found 3 + 9 = <<3+9=12>>12 clothes
Subtracting the clothes she left from the clothes she found, 27 - 12 = <<27-12=15>>15 clothes are missing
#### 15",2,994
615,615,"Connie is trying to remember when her grandmother was born. She knows her grandmother's older brother was born in 1932, her older sister was born in 1936, and the gap between her grandmother and her sister is twice the gap between the older brother and the older sister. What year was Connie's grandma born?","First find the age gap between the older brother and sister by subtracting the earlier birth year from the later: 1936 - 1932 = <<1936-1932=4>>4 years
Then double the age gap to find how many years passed between the sister's birth and the grandmother's: 4 years * 2 = <<4*2=8>>8 years
Then add 8 years to the older sister's birth year to find the grandmother's birth year: 1936 + 8 = <<1936+8=1944>>1944
#### 1944",3,1365
1164,1164,Hayden has a tank with a small hole in the bottom. The tank starts with 40 gallons of water. It loses 2 gallons of water per hour. Hayden does not add any water for the first two hours. He adds 1 gallon of water to the tank in hour three. He adds three gallons of water to the tank in the fourth hour. How much water is left in the tank at the end of the fourth hour?,"Over the four hours, the tank loses 2 * 4 = <<2*4=8>>8 gallons of water.
Hayden adds a total of 1 + 3 = <<1+3=4>>4 gallons of water.
At the end of the four hours, there is 40 - 8 + 4 = <<40-8+4=36>>36 gallons of water left in the tank.
#### 36",4,978
4077,4077,"Three towns, Toadon, Gordonia, and Lake Bright, have 80000 people. Gordonia has 1/2 times the total population in the three cities. If the population of Toadon is 60 percent of Gordonia's population, how many people live in Lake Bright?","The population of Gordonia is 1/2 * 80000 people = 40000 people
Toadon has 60/100 * 40000 people = <<60/100*40000=24000>>24000 people
The total population of Gordonia and Toadon is 40000 people + 24000 people = <<40000+24000=64000>>64000 people
The population of Lake Bright is 80000 people - 64000 people = <<80000-64000=16000>>16000 people
#### 16000",0,1774
2642,2642,George had $100. He bought a shirt for $24 and he also bought a pair of socks. Then he had $65 left. How much is a pair of socks?,"George had $100 - $24 = $<<100-24=76>>76 left after buying a shirt.
Since he has $65 left after buying a pair of socks, then a pair of socks costs $76 - $65 = $<<76-65=11>>11.
#### 11",1,809
5769,5769,"Zara bought 24 cows, 7 sheep, and some goats. Next week, she will transport all of them to a new farm in 3 equally-sized groups of 48 animals per group. How many goats does she own?","Zara will transport a total of 3 * 48 = <<3*48=144>>144 animals.
The known number of animals is 24 + 7 = <<24+7=31>>31 cows and sheep.
Zara therefore has 144 - 31 = <<144-31=113>>113 goats.
#### 113",2,661
3777,3777,"Janet has 60 less than four times as many siblings as Masud. Carlos has 3/4 times as many siblings as Masud. If Masud has 60 siblings, how many more siblings does Janet have more than Carlos?","If Masud has 60 siblings, and Carlos has 3/4 times as many siblings as Masud, Carlos has 3/4*60=<<60*3/4=45>>45 siblings.
Four times as many siblings as Masud has is 4*60=<<4*60=240>>240
Janet has 60 less than four times as many siblings as Masud, a total of 240-60=<<240-60=180>>180 siblings.
The number of siblings Janet have more than Carlos is 180-45=<<180-45=135>>135
#### 135",3,4861
4432,4432,"Shane wants to take as many photos as possible this year. He takes 146 photos in the first 2 months of the year. In January, he takes 2 photos every day. The rest of the photos were taken in February. If in February he took an equal number of photos each week, how many photos did Shane take each week in February?","Shane takes a total of 2 photos/day * 31 days = <<2*31=62>>62 photos in January.
This means he must have taken 146 total photos – 62 January photos = 84 photos in February.
As he took an equal number each week, he must have taken 84 photos / 4 weeks = <<84/4=21>>21 photos each week.
#### 21",4,4199
1278,1278,The green piece of yarn is 156 cm long. The red yarn is 8 cm more than three times the length of the green yarn. What is the number of centimeters in the total length for the 2 pieces of yarn?,"Green = <<156=156>>156 cm
Red = 3*156 + 8 = <<3*156+8=476>>476 cm
156 + 476 = <<156+476=632>>632 cm of yarn
The two pieces of yarn have a length of 632 centimeters.
#### 632",0,102
2693,2693,"John has to pay taxes.  He earned $100,000 for the year.  He has $30,000 in deductions.  The first $20,000 of taxable income is taxed at 10%.  The rest is taxed at 20%.  How much does he pay in taxes?","His taxable income is 100,000-30,000=$<<100000-30000=70000>>70,000
So he pays 20,000*.1=$<<20000*.1=2000>>2000 tax at the lower rate
He has to pay 70,000-20,000=$<<70000-20000=50000>>50,000 at the higher rate
The taxes for that is 50,000*.2=$<<50000*.2=10000>>10,000
So his total tax bill is 10,000+2,000=$<<10000+2000=12000>>12,000
#### 12000",1,5030
99,99,"Gail has two fish tanks. The first tank is twice the size of the second tank. There are 48 gallons of water in the first tank. She follows the rule of one gallon of water per inch of fish. If she keeps two-inch fish in the second tank and three-inch fish in the first tank, how many more fish would Gail have in the first tank than the second tank if one of the first tank fish eats another?","The second tank is 48 / 2 = <<48/2=24>>24 gallons.
Following her rule, Gail keeps 24 / 2 = <<24/2=12>>12 two-inch fish in the second tank.
She keeps 48 / 3 = <<48/3=16>>16 fish in the first tank.
If one fish in the first tank ate another, she would have 16 - 1 = <<16-1=15>>15 fish in the first tank.
Thus, Gail would have 15 - 12 = <<15-12=3>>3 more fish in the first tank.
#### 3",2,815
891,891,"Lavinia’s daughter is 10 years younger than Katie’s daughter. Lavinia’s son is 2 times the age of Katie’s daughter. If Katie’s daughter is 12 years old, how many years older is Lavinia’s son than Lavinia’s daughter?","Lavinia’s daughter is 12 - 10 = <<12-10=2>>2 years old
Lavinia’s son is 12 * 2 = <<12*2=24>>24 years old
Lavinia’s son is 24 - 2 = <<24-2=22>>22 years older than Lavinia’s daughter.
#### 22",3,2990
3020,3020,"Erica lives near a lake where most locals sell fish as their main source of income, earning $20 per kg of fish. She goes out fishing today and catches twice as many fish as she caught in total in the past four months. If Erica trawled 80 kg of fish in the past four months, not including today, how much money will she have earned in the past four months including today (assuming she sells all her fish)?","In the past four months, not including today, Erica has 80 kg * $20/kg = $<<80*20=1600>>1600 worth of fish.
Today, Erica trawled 80 * 2 = <<80*2=160>>160 kg of fish.
Thus today's earnings are 160 kg * $20/kg = $<<160*20=3200>>3200.
Her total earnings are $3200 + $1600 = $<<3200+1600=4800>>4800
#### 4800",4,3416
5104,5104,"The school band is going to a competition. Five members play the flute. There are three times as many members who play the trumpet. There are eight fewer trombone players than trumpeters, and eleven more drummers than trombone players. There are twice as many members that play the clarinet as members that play the flute. Three more members play the French horn than play the trombone. How many seats are needed on the bus?","There are 3 trumpets/flute x 5 flutes = <<3*5=15>>15 trumpet players
There are 15 players - 8 players = <<15-8=7>>7 trombone players
There are 7 players + 11 players = <<7+11=18>>18 drummers.
There are 2 clarinets/flute x 5 flutes = 10 clarinet players
There are 7 players + 3 players = <<7+3=10>>10 French horn players
In total 5 players + 15 players + 7 players + 18 players + 10 players + 10 players = <<5+15+7+18+10+10=65>>65 seats needed.
#### 65",0,4651
745,745,"Village Foods sells good food at a fair price.  Their specialty is fresh vegetables.  If they get 500 customers per month, and each customer purchases 2 heads of lettuce for $1 each and 4 tomatoes for $0.5 apiece, then how much money, in dollars, will the store receive in sales of lettuce and tomatoes per month?","2 heads of lettuce at $1 apiece is 2*$1=$<<2*1=2>>2.
4 tomatoes at $0.50 apiece is 4*$0.5=$<<4*0.5=2>>2.
Thus, each customer purchases $2+$2=$<<2+2=4>>4 in lettuce and tomatoes per month.
Therefore, if 500 customers per month spend $4 on lettuce and tomatoes, then the store will receive $4*500=$<<4*500=2000>>2000 per month on sales of lettuce and tomatoes.
#### 2000",1,645
4330,4330,"Simon has 20% more legos than Bruce, who has 20 more than Kent.  If Kent has 40 legos, how many does Simon have?","Bruce has 20 more legos than Kent who has 40 so Bruce has 20+40 = <<20+40=60>>60 legos
Simon has 20% more legos than Bruce who has 60 legos so that's .20*60 = <<20*.01*60=12>>12 more legos
20% more is 12 legos and Bruce has 60 so Simon has 12+60 = 72 legos
#### 72",2,4499
6294,6294,"Roger's age is 5 more than twice Jill's age. In 15 years, their age difference will be 30 years less than Finley's age. If Jill is 20 years old now, how old is Finley?","Twice Jill's age is 2*20=<<2*20=40>>40
If Roger's age is 5 more than twice Jill's age, he is 5+40=45 years old.
In 15 years, Jill will be 20+15=<<20+15=35>>35 years old.
Roger's age will be 45+15=<<45+15=60>>60 years old in 15 years.
The age difference between Roger and Jill in fifteen years will be 60-35=<<60-35=25>>25 years
In 15 years, the age difference between Roger and Jill will be 30 years less than Finley's age, meaning in fifteen years Finley will be 30+25=<<30+25=55>>55 years old.
Currently, Finley is 55-15=<<55-15=40>>40 years old.
#### 40",3,4913
5606,5606,"Gunther needs to clean his apartment.  It takes him 45 minutes to vacuum the carpets, 60 minutes to dust the furniture, 30 minutes to mop the floors in his kitchen, and 5 minutes to brush each cat, and he has three cats.  If he has 3 hours of free time available, and he uses this time to clean his apartment, how many minutes of free time will he have left after he cleans the apartment?","It will take 3 * 5 = <<3*5=15>>15 minutes to brush his cats.
All together, it will take 45 + 60 + 30 + 15 = <<45+60+30+15=150>>150 minutes to clean his apartment.
In three hours, there are 60 * 3 = <<60*3=180>>180 minutes.
Thus, he will have 180 - 150 = <<180-150=30>>30 minutes of free time remaining.
#### 30",4,3208
5199,5199,"20% of the vets in a state recommend Puppy Kibble. 30% recommend Yummy Dog Kibble. If there are 1000 vets in the state, how many more recommend Yummy Dog Kibble than Puppy Kibble?","The number of vets that recommend Puppy Kibble is 1000*.2=<<1000*.2=200>>200.
The number of vets that recommend Yummy Dog Kibble is 1000*.3=<<1000*.3=300>>300 vets.
Thus, 300-200=<<300-200=100>>100 more vets recommend Yummy Dog Kibble than Puppy Kibble.
#### 100",0,2210
2642,2642,George had $100. He bought a shirt for $24 and he also bought a pair of socks. Then he had $65 left. How much is a pair of socks?,"George had $100 - $24 = $<<100-24=76>>76 left after buying a shirt.
Since he has $65 left after buying a pair of socks, then a pair of socks costs $76 - $65 = $<<76-65=11>>11.
#### 11",1,809
7346,7346,"Penelope has 5 M&M candies for every 3 Starbursts candies. If she has 25 M&M candies, how many Starbursts candies does she have?","Let 5 M&M candies and 3 Starbursts candies be referred to as the unit amounts of each candy.
5 M&M candies make one unit so 25 makes 25/5 = <<25/5=5>>5 units of M&M candies
For every unit of 5 M&M candies, there is a corresponding unit of 3 Starbursts candies so for 5 units of M&M, she has 5 units of 3 Starbursts candies which is = 5*3 = <<5*3=15>>15 Starbursts candies.
#### 15",2,3847
7325,7325,"John is 15 cm taller than Lena and 6 cm shorter than Rebeca. If John has a height of 152 cm, what is the height of Lena and Rebeca together?","Lena is 152 cm - 15 cm = <<152-15=137>>137 cm tall
Rebeca is 152 cm + 6 cm = <<152+6=158>>158 cm tall
So, the total height of Lena and Rebeca would be 137 cm + 158 cm = <<137+158=295>>295 cm.
#### 295",3,2149
5460,5460,"Omar buys a 12-ounce cup of coffee every morning on the way to work. On the way to work, he drinks one-quarter of the cup. When he gets to his office, he drinks another half of the cup. He forgets to drink any more of his coffee once he starts working, and when he remembers his coffee, he only drinks 1 ounce of the remaining amount because it is cold. How many ounces will be left in the cup afterward?","Omar drinks 1/4 * 12 = 12/4 = <<12/4=3>>3 ounces on the way to work.
Omar drinks 1/2 * 12 = 12/2 = <<12/2=6>>6 ounces when he gets to his office.
When he drinks 1 ounce more, he will have drunk 3 + 6 + 1 = <<3+6+1=10>>10 ounces.
Thus, there will be 12 - 10 = <<12-10=2>>2 ounces left in the cup afterward.
#### 2",4,130
3753,3753,"Out of 804 senior high school students, 75% passed their exams and so got their degree. The rest failed. How many didn't pass their exams?","Find the number of students who got their degree by multiplying: 804 students * 75% = <<804*75*.01=603>>603 students.
Then find the number of students who didn't pass their exams by subtracting this number from the total: 804 students - 603 students = <<804-603=201>>201 students.
#### 201",0,582
6639,6639,Maria has a pen and a pencil. She bought the pen for half the price of the pencil. The pencil cost her $8. How much did Maria pay for both the pen and the pencil?,"The pen is half the price of the pencil, so it's 8 * 0.5 = $<<8*0.5=4>>4.
So both the pen and the pencil cost Maria 8 + 4 = $<<8+4=12>>12.
#### 12",1,1532
3432,3432,"Milly and Floretta are having a water balloon fight in their garden. They use 3 packs of their own water balloons and also use 2 packs of a neighbor’s water balloons. Each pack of water balloons contains 6 balloons. Milly and Floretta fill all of the balloons then split them evenly, but Milly takes an extra 7 balloons when Floretta isn't looking. How many water balloons is Floretta left with?","Milly and Floretta have a total of 3 packs of their own water balloons + 2 packs of the neighbor’s water balloons = <<3+2=5>>5 packs of water balloons.
So there is a total of 5 packs of water balloons * 6 balloons per pack of water balloons = <<5*6=30>>30 water balloons available.
As they split them evenly, they each have 30 water balloons / 2 = <<30/2=15>>15 water balloons.
After Milly steals some balloons, Floretta is left with 15 – 7 = <<15-7=8>>8 water balloons.
#### 8",2,3837
6499,6499,"Tricia is a third of Amilia’s age and Amilia is a quarter of Yorick’s age. Yorick is twice Eugene’s age and Khloe is a third of Eugene’s age. Rupert is 10 years older than Khloe but 2 years younger than Vincent who is 22 years old. How old, in years, is Tricia?","Rupert is younger than Vincent by 2 years, so he is 22 years old – 2 years = <<22-2=20>>20 years old.
Khloe is 10 years younger than Rupert so she is 20 years old – 10 years = 10 years old.
Eugene is 3 times older than Khloe so he is 10 years old * 3 = <<10*3=30>>30 years old.
Yorick is twice Eugene’s age so he is 30 years old * 2 = <<30*2=60>>60 years old.
Amilia is a quarter of Yorick’s age so she is 60 years old / 4 = <<60/4=15>>15 years old.
Tricia is a third of Amilia’s age so she is 15 years old / 3 = <<15/3=5>>5 years old.
#### 5",3,2287
3941,3941,"Timmy plans to ride a skateboard ramp that is 50 feet high. He knows he needs to go 40 mph at the start to make it all the way to the top. He measures his speed on three trial runs and goes 36, 34, and 38 mph. How much faster does he have to go than his average speed to make it up the ramp?","His total speed from the trials is 108 because 36 + 34 + 38 = <<36+34+38=108>>108
His average speed was 36 mph because 108 / 3 = <<108/3=36>>36
He needs to go 4 mph faster to make it to the top because 40 - 36 = <<40-36=4>>4.
#### 4",4,135
3694,3694,"For many years, the number of sharks in Pelican Bay has been twice the number of Pelicans in Shark Bite Cove.   But today scientists say one-third of the Pelicans in Shark Bite Cove have moved to Pelican Bay.  If there are still 60 sharks in Pelican Bay,  how many Pelicans remain in Shark Bite Cove?","If there are 60 sharks in Pelican Bay, and this number is twice the number of Pelicans that usually live in Shark Bite Cove, then there were 60/2=<<60/2=30>>30 Pelicans in Shark Bite Cove.
If one-third of the Pelicans in Shark Bite Cove move to Pelican Bay,
then 30/3=<<30/3=10>>10 Pelicans will have moved away.
This would leave 30-10=<<30-10=20>>20 Pelican remaining in Shark Bite Cove.
#### 20",0,2542
