,id,question,answer,facts,decomposition,cluster,index
842,7a0e419ffb6009156828,Was ship that recovered Apollo 13 named after a World War II battle?,Yes,"['Apollo 13 was recovered by the USS Iwo Jima.', 'Iwo Jima was captured from the Imperial Japanese Army during World War II by the US in a conflict called the Battle of Iwo Jima.']","['Which ship recovered Apollo 13 crew?', 'What was #1 named for?', 'Did #2 occur during World War II?']",0,453
1266,31cd0c0fe3dfe163e662,Can a woman on average have a baby before wheat seed blooms?,No,"['The average time it takes for a woman to give birth is 9 months.', 'Wheat takes between 7 to 8 months to harvest.']","['How long does pregnancy typically last in humans?', 'How long does it typically take to grow and harvest wheat?', 'Is #1 shorter than #2?']",1,429
1135,0a8bb20dbdb99d68127e,Do people who smoke Djarum's like cloves?,Yes,"['Djarum is a brand of cigarette popular around the world.', 'Djarum cigarettes are made with a blend of cloves and tobacco.']","['What are Djarum cigarettes made of?', 'Does #1 include cloves?']",2,628
1386,85a99480c6fb0177f4c7,Will you see peach blossoms and Andromeda at the same time?,No,"['Peach trees bloom in the spring.', 'Andromeda is visible in the fall.']","['When do peach trees bloom?', 'When can you see Andromeda?', 'Is #1 the same as #2?']",3,1613
1636,a87b94672fd08c0a2f0e,Would the United States Military Academy reject an applicant with multiple sclerosis?,Yes,"['Multiple Sclerosis is a progressive condition affecting the brain and spinal chord.', 'The US Military Academy does not give waivers for serious progressive conditions.']","['What kind of condition is Multiple Sclerosis?', 'Would the US Military Academy have to reject someone with #1?']",4,1028
591,2a9cf64b15df1b841f25,Does Santa Claus hypothetically give Joffrey Baratheon presents?,No,"['Santa Claus is a figure in folklore that gives good children presents and bad children coal.', 'Joffrey Baratheon is a character in the Game of Thrones TV series.', ""Joffrey is a young royal that has a man's tongue cut out."", 'Joffrey shoots his crossbow into the flesh of innocent people for his amusement.']","['What kind of children would Santa Claus give presents to?', ""What is Joffrey Baratheon's character like?"", 'Do #1 usually exhibit #2?']",0,981
1717,cea31f260dfec9aa0f1f,Would a monkey outlive a human being on average?,No,"['The average human lifespan is 79 years.', 'The longest-lived monkey species have a lifespan about 45-50 years in captivity.']","['How long does the average human live?', 'What is the longest lifespan of a monkey?', 'Is #2 larger than #1?']",1,853
739,1977a974cf1b946ea1e5,If someone loves buffalo wings do they enjoy capsaicin?,Yes,"['Buffalo wings are fried chicken wings covered in a spicy sauce.', 'Spicy foods are provided their spice from capsaicin from peppers.']","['What sauce is used on buffalo wings?', 'What is the flavor of #1', 'Is capsaicin used to create #2?']",2,1760
1155,af9206e49f97ed8e3b61,Has mummification in the Andes been prevented by rainfall?,No,"['The Andes includes high, dry zones without precipitation.', 'Dry climates do not impede mummification.', 'Many mummies have been found in the Andes.']","['What type of climate is present in the Andes?', 'Does #1 cause rainfall?']",3,815
807,27fc311d200f621edcbc,Is the Flying Spaghetti Monster part of an ancient pantheon?,No,"['Ancient polytheistic religions are generally no longer popular in Western culture.', 'The Church of the Flying Spaghetti Monster was established in 2006 after the creation of the FSM itself in 2005.']","['What time period is considered ancient?', 'What religion is the Flying Spaghetti Monster part of?', 'Was #2 established during #1?']",4,1725
591,2a9cf64b15df1b841f25,Does Santa Claus hypothetically give Joffrey Baratheon presents?,No,"['Santa Claus is a figure in folklore that gives good children presents and bad children coal.', 'Joffrey Baratheon is a character in the Game of Thrones TV series.', ""Joffrey is a young royal that has a man's tongue cut out."", 'Joffrey shoots his crossbow into the flesh of innocent people for his amusement.']","['What kind of children would Santa Claus give presents to?', ""What is Joffrey Baratheon's character like?"", 'Do #1 usually exhibit #2?']",0,981
638,6042b48035952d0e1a61,Would an astrologer focus on the densest terrestrial planet for a Friday horoscope?,Yes,"['Friday is associated with Venus in astrology', 'Venus is the densest of the terrestrial planets ']","['What astrological body is associated with Friday?', 'Which is the densest terrestrial planet?', 'Is #2 the same as #1?']",1,958
128,603f33161fb1500bb73d,Can a person be diagnosed with a Great Depression?,No,"['The Great Depression was a severe worldwide economic depression that took place mostly during the 1930s, beginning in the United States.', 'Major depressive disorder (MDD), also known simply as depression, is a mental disorder characterized by at least two weeks of low mood that is present across most situations.']","['What was the Great Depression?', 'What is depression that people suffer from?', 'Are #1 and #2 the same?']",2,1439
454,df1ec5fee0dec5410ab0,Is Snow White an example of good consent?,No,"['Snow White is unknowingly poisoned by a witch.', 'Snow White is unconscious when a man kisses her without her knowledge.', 'Consent involves knowingly allowing something to happen to oneself. ']","['What conditions can prevent someone from giving consent?', 'Was Snow White free of any of #1?']",3,1459
81,05a8b1683097fc70ac73,Is Hermes equivalent to the Roman god Vulcan?,No,"['Hermes is the Greek messenger god and god of roads and travelers.', 'Mercury is the Roman messenger god of roads and travelers.', 'The Roman Vulcan is actually equivalent to the Greek Hephaestus.', 'Hermes is equivalent to Mercury.']","['What is Hermes god of?', 'Who is the god of #1 in Roman mythology?', 'Is #2 the same as Vulcan?']",4,781
460,26813dc7504fd7355c8c,Does Magnus Carlsen enjoy KFC?,No,"['Magnus Carlsen is a chess grandmaster from Norway', 'There are no KFC locations in Norway']","['What country is Magnus Carlsen from?', 'In what countries does KFC have a location?', 'Is #1 included in #2?']",0,1021
1548,93264708b0d600fb9650,Would a fungal life-form be threatened by a pigment from copper?,Yes,"['Verdigris is a pigment made from copper', 'Verdigris is also used as a fungicide ']","['Which element is the pigment verdigris derived from?', 'Is #1 copper and verdigris also used as a fungicide?']",1,316
1562,26cfd3b238056cc1dc82,Can vitamin C rich fruits be bad for health?,Yes,"['Oranges are fruits that are rich in vitamin C.', 'Oranges are very acidic fruits that can wear down tooth enamel.', 'Too much Vitamin C can cause nausea and diarrhea.']","['Which vitamin are oranges rich in?', 'Is #1 the same as vitamin C?', ""Can excess of #1 be harmful to a person's health?"", 'Can the acidity of oranges have adverse effects on human consumers?', 'Are #2, #3 and #4 positive?']",2,1099
1141,d05b8ed82dbe1583b16c,Does a person need to be a parent to become a grandparent?,Yes,"['Parents care for their children.', 'When the children grow up and have kids of their own, the parents become grandparents to those kids.', 'A person who is not a parent has no kids, therefore nobody to produce grandchildren for them.']","['What must a person have in order to be known as a grandparent?', 'What would the parents of #1 be to the person?', 'Must one be a parent to have #2?']",3,516
1793,6f0b33d71d2e65d3b376,Did a Polish poet write sonnets about Islamic religion?,Yes,"['Adam Mickiewicz was a Polish poet. ', ""Adam Mickiewicz 's sonnet sequence focuses heavily on the culture and Islamic religion of the Crimean Tatars.""]","[""What were the major focus of Adam Mickiewicz's sonnets?"", 'Is #1 about Islamic religion?', 'Was Adam Mickiewicz a Polish poet?', 'Are #2 and #3 positive?']",4,382
1376,960c1546ad5913f5c302,Did U2 play a concert at the Polo Grounds?,No,"['U2 is an Irish rock band that formed in 1976.', 'The Polo Grounds was a sports stadium that was demolished in 1964.']","['When was U2 (Irish rock band) formed?', 'When was the Polo Grounds demolished?', 'Is #1 before #2?']",0,1238
0,cc6e607ec6b68023be26,"Can you fit every resident of Auburn, New York, in Tropicana Field?",Yes,"['The capacity of Tropicana Field is 36,973', 'The population of Auburn, NY is 27,687']","['What is the capacity of Tropicana Field?', 'What is the population of Auburn, NY?', 'Is #1 greater than #2?']",1,1153
1595,8b41a17e65ef7f6e22b5,"During the pandemic, is door to door advertising considered inconsiderate?",Yes,"['Door to door advertising involves someone going to several homes in a residential area to make sales and leave informational packets.', 'During the COVID-19 pandemic, the CDC recommends that people limit their travel to essential needs only.', 'During the COVID-19 pandemic, citizens are advised to stay home and to limit their interaction with others.', 'During the COVID-19 pandemic, people are encouraged to remain six feet away from each other at all times.', 'The more people that someone interacts with, the higher the likelihood of them becoming a vector for the COVID-19 virus.']","['What does door to door advertising involve a person to do?', 'During the COVID-19 pandemic, what does the CDC advise people to do in terms of traveling?', 'During the COVID-19 pandemic, what does the CDC advise people to do in terms of interaction with others?', 'Does doing #1 go against #2 and #3?']",2,231
428,4ba70839df733c61f9a5,Do you need to worry about Zika virus in Antarctica? ,No,"['Mosquitoes cannot survive in the climate of Antarctica.', 'Zika virus is primarily spread through mosquito bites. ']","['What animal spreads the Zika Virus?', 'What is the climate of Antarctica?', 'Can #1 survive in #2?']",3,642
