,question,choices,answer,unit,table_title,table,table_for_pd,row_num,column_num,solution,ques_type,ans_type,grade,split,cluster,index
12249,Some students compared how many blocks they live from school. What is the mean of the numbers?,,7,,Blocks from school,"Name | Number of blocks
Steven | 3
Albert | 1
Ted | 3
Erin | 5
Ross | 18
Bert | 13
Paul | 6","{'Name': ['Steven', 'Albert', 'Ted', 'Erin', 'Ross', 'Bert', 'Paul'], 'Number of blocks': ['3', '1', '3', '5', '18', '13', '6']}",8,2,"Read the numbers from the table.

3, 1, 3, 5, 18, 13, 6

First, count how many numbers are in the group.

There are 7 numbers.

Now add all the numbers together:

3 + 1 + 3 + 5 + 18 + 13 + 6 = 49

Now divide the sum by the number of numbers:

49 ÷ 7 = 7

The mean is 7.",free_text,integer_number,5,train,0,7651
7837,A bakery recorded how many cupcakes it sold in the past 3 days. How many cupcakes in total did the bakery sell on Tuesday and Thursday?,,258,cupcakes,Cupcakes sold,"Day | Number of cupcakes
Tuesday | 147
Wednesday | 683
Thursday | 111","{'Day': ['Tuesday', 'Wednesday', 'Thursday'], 'Number of cupcakes': ['147', '683', '111']}",4,2,"Find the numbers in the table.

Tuesday: 147
Thursday: 111

Now add: 147 + 111 = 258.

The bakery sold 258 cupcakes on Tuesday and Thursday.",free_text,integer_number,3,train,1,10727
35134,How much money does Deion need to buy a poetry book and a textbook?,,26.30,$,,"textbook | $12.79
poetry book | $13.51
science book | $11.55
history book | $15.49
crossword puzzle book | $24.85","{'Column 1': ['textbook', 'poetry book', 'science book', 'history book', 'crossword puzzle book'], 'Column 2': ['$12.79', '$13.51', '$11.55', '$15.49', '$24.85']}",5,2,"Add the price of a poetry book and the price of a textbook:

$13.51 + $12.79 = $26.30

Deion needs $26.30.",free_text,decimal_number,5,train,2,712
25916,"Look at the table. Then answer the question. At a price of $755, is there a shortage or a surplus?","['shortage', 'surplus']",shortage,,,"Price | Quantity demanded | Quantity supplied
$615 | 17,000 | 8,800
$685 | 13,900 | 9,400
$755 | 10,800 | 10,000
$825 | 7,700 | 10,600
$895 | 4,600 | 11,200","{'Price': ['$615', '$685', '$755', '$825', '$895'], 'Quantity demanded': ['17,000', '13,900', '10,800', '7,700', '4,600'], 'Quantity supplied': ['8,800', '9,400', '10,000', '10,600', '11,200']}",6,3,"At the price of $755, the quantity demanded is greater than the quantity supplied. There is not enough of the good or service for sale at that price. So, there is a shortage.
",multi_choice,boolean_text,5,train,3,14957
2663,Look at the following schedule. Alan just missed the 12.45 P.M. bus at the famous bridge. What time is the next bus?,"['1:30 P.M.', '10:45 A.M.', '2:15 P.M.', '12:45 P.M.']",1:30 P.M.,,Tour bus schedule,"old building | 8:00 A.M. | 10:00 A.M. | 10:15 A.M. | 11:00 A.M.
university campus | 8:45 A.M. | 10:45 A.M. | 11:00 A.M. | 11:45 A.M.
shopping district | 9:30 A.M. | 11:30 A.M. | 11:45 A.M. | 12:30 P.M.
the riverfront | 9:45 A.M. | 11:45 A.M. | 12:00 P.M. | 12:45 P.M.
famous bridge | 10:30 A.M. | 12:30 P.M. | 12:45 P.M. | 1:30 P.M.
landmark sculpture | 11:15 A.M. | 1:15 P.M. | 1:30 P.M. | 2:15 P.M.
the aquarium | 12:15 P.M. | 2:15 P.M. | 2:30 P.M. | 3:15 P.M.
the zoo | 1:00 P.M. | 3:00 P.M. | 3:15 P.M. | 4:00 P.M.","{'Column 1': ['old building', 'university campus', 'shopping district', 'the riverfront', 'famous bridge', 'landmark sculpture', 'the aquarium', 'the zoo'], 'Column 2': ['8:00 A.M.', '8:45 A.M.', '9:30 A.M.', '9:45 A.M.', '10:30 A.M.', '11:15 A.M.', '12:15 P.M.', '1:00 P.M.'], 'Column 3': ['10:00 A.M.', '10:45 A.M.', '11:30 A.M.', '11:45 A.M.', '12:30 P.M.', '1:15 P.M.', '2:15 P.M.', '3:00 P.M.'], 'Column 4': ['10:15 A.M.', '11:00 A.M.', '11:45 A.M.', '12:00 P.M.', '12:45 P.M.', '1:30 P.M.', '2:30 P.M.', '3:15 P.M.'], 'Column 5': ['11:00 A.M.', '11:45 A.M.', '12:30 P.M.', '12:45 P.M.', '1:30 P.M.', '2:15 P.M.', '3:15 P.M.', '4:00 P.M.']}",8,5,"Find 12:45 P. M. in the row for the famous bridge.

Look for the next bus in that row.

The next bus is at 1:30 P. M.",multi_choice,extractive_text,4,train,4,9204
11854,The students in Mr. Robertson's class recorded the number of siblings that each has. How many students have fewer than 2 siblings?,,31,,Siblings,"Number of siblings | Frequency
0 | 19
1 | 12
2 | 13
3 | 9","{'Number of siblings': ['0', '1', '2', '3'], 'Frequency': ['19', '12', '13', '9']}",5,2,"Find the rows for 0 and 1 sibling. Add the frequencies for these rows.

Add:

19 + 12 = 31

31 students have fewer than 2 siblings.",free_text,integer_number,7,train,0,12081
23529,Brittany conducted a blind taste test on some of her friends in order to determine if organic fruits tasted different than non-organic fruits. Each friend ate one type of fruit. What is the probability that a randomly selected friend preferred organic and tasted peaches? Simplify any fractions.,,7/19,,," | Apples | Peaches
Organic | 2 | 7
Non-organic | 7 | 3","{'': ['Organic', 'Non-organic'], 'Apples': ['2', '7'], 'Peaches': ['7', '3']}",3,3,"Let A be the event ""the friend preferred organic"" and B be the event ""the friend tasted peaches"".
To find the probability that a friend preferred organic and tasted peaches, first identify the sample space and the event.
The outcomes in the sample space are the different friends. Each friend is equally likely to be selected, so this is a uniform probability model.
The event is A and B, ""the friend preferred organic and tasted peaches"".
Since this is a uniform probability model, count the number of outcomes in the event A and B and count the total number of outcomes. Then, divide them to compute the probability.

Find the number of outcomes in the event A and B.
A and B is the event ""the friend preferred organic and tasted peaches"", so look at the table to see how many friends preferred organic and tasted peaches.
The number of friends who preferred organic and tasted peaches is 7.

Find the total number of outcomes.
Add all the numbers in the table to find the total number of friends.
2 + 7 + 7 + 3 = 19

Find P(A and B).
Since all outcomes are equally likely, the probability of event A and B is the number of outcomes in event A and B divided by the total number of outcomes.
P(A and B) = \frac{# of outcomes in A and B}{total # of outcomes}
 = \frac{7}{19}
The probability that a friend preferred organic and tasted peaches is \frac{7}{19}.",free_text,decimal_number,8,train,1,14031
4945,How much money does Hannah need to buy a ballet ticket and 7 orchestra tickets?,,443,$,,"dance performance ticket | $29.00
play ticket | $32.00
figure skating ticket | $41.00
ballet ticket | $37.00
opera ticket | $76.00
orchestra ticket | $58.00","{'Column 1': ['dance performance ticket', 'play ticket', 'figure skating ticket', 'ballet ticket', 'opera ticket', 'orchestra ticket'], 'Column 2': ['$29.00', '$32.00', '$41.00', '$37.00', '$76.00', '$58.00']}",6,2,"Find the cost of 7 orchestra tickets.

$58.00 × 7 = $406.00

Now find the total cost.

$37.00 + $406.00 = $443.00

Hannah needs $443.00.",free_text,integer_number,8,train,2,9361
32013,"Look at the table. Then answer the question. At a price of $1,045, is there a shortage or a surplus?","['shortage', 'surplus']",surplus,,,"Price | Quantity demanded | Quantity supplied
$665 | 15,500 | 16,200
$855 | 13,700 | 17,300
$1,045 | 11,900 | 18,400
$1,235 | 10,100 | 19,500
$1,425 | 8,300 | 20,600","{'Price': ['$665', '$855', '$1,045', '$1,235', '$1,425'], 'Quantity demanded': ['15,500', '13,700', '11,900', '10,100', '8,300'], 'Quantity supplied': ['16,200', '17,300', '18,400', '19,500', '20,600']}",6,3,"At the price of $1,045, the quantity demanded is less than the quantity supplied. There is too much of the good or service for sale at that price. So, there is a surplus.
",multi_choice,boolean_text,5,train,3,9826
7900,Look at the following schedule. Marshall got on the train at Rollercoaster Land at 5.45 A.M. What time will he get to Floral Gardens?,"['3:30 P.M.', '5:00 P.M.', '5:15 A.M.', '6:45 A.M.']",6:45 A.M.,,Train schedule,"Comfy Pillows Resort | 4:15 A.M. | 2:30 P.M. | 10:00 P.M.
Skyscraper City | 4:45 A.M. | 3:00 P.M. | 10:30 P.M.
Pleasant River Campground | 5:15 A.M. | 3:30 P.M. | 11:00 P.M.
Rollercoaster Land | 5:45 A.M. | 4:00 P.M. | 11:30 P.M.
Floral Gardens | 6:45 A.M. | 5:00 P.M. | 12:30 A.M.
Chickenville | 7:15 A.M. | 5:30 P.M. | 1:00 A.M.
Happy Cow Farm | 7:45 A.M. | 6:00 P.M. | 1:30 A.M.","{'Column 1': ['Comfy Pillows Resort', 'Skyscraper City', 'Pleasant River Campground', 'Rollercoaster Land', 'Floral Gardens', 'Chickenville', 'Happy Cow Farm'], 'Column 2': ['4:15 A.M.', '4:45 A.M.', '5:15 A.M.', '5:45 A.M.', '6:45 A.M.', '7:15 A.M.', '7:45 A.M.'], 'Column 3': ['2:30 P.M.', '3:00 P.M.', '3:30 P.M.', '4:00 P.M.', '5:00 P.M.', '5:30 P.M.', '6:00 P.M.'], 'Column 4': ['10:00 P.M.', '10:30 P.M.', '11:00 P.M.', '11:30 P.M.', '12:30 A.M.', '1:00 A.M.', '1:30 A.M.']}",7,4,"Find 5:45 A. M. in the row for Rollercoaster Land. That column shows the schedule for the train that Marshall is on.

Look down the column until you find the row for Floral Gardens.

Marshall will get to Floral Gardens at 6:45 A. M.",multi_choice,extractive_text,4,train,4,8071
4690,Each cow pasture has 2 sprinklers. How many sprinklers are in 5 cow pastures?,,10,,,"Number of cow pastures | Number of sprinklers
1 | 2
2 | 4
3 | 6
4 | 8
5 | ?","{'Number of cow pastures': ['1', '2', '3', '4', '5'], 'Number of sprinklers': ['2', '4', '6', '8', '?']}",6,2,Count by twos. Use the chart: there are 10 sprinklers in 5 cow pastures.,free_text,integer_number,2,train,0,3009
4126,"A Girl Scout troop recorded how many boxes of cookies they sold each day for a week. According to the table, what was the rate of change between Thursday and Friday?",,-14,boxes per day,Boxes of Girl Scout cookies sold,"Day | Boxes of cookies
Monday | 47
Tuesday | 40
Wednesday | 43
Thursday | 49
Friday | 35","{'Day': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'Boxes of cookies': ['47', '40', '43', '49', '35']}",6,2,"Plug the numbers into the formula for rate of change and simplify.
Rate of change
 = \frac{change in value}{change in time}
 = \frac{35 boxes - 49 boxes}{1 day}
 = \frac{-14 boxes}{1 day}
 = -14 boxes per day
The rate of change between Thursday and Friday was - 14 boxes per day.",free_text,integer_number,8,train,1,7115
17959,How much money does Krysta need to buy 6 lawn sprinklers and 8 wrenches?,,100.42,$,,"lawn sprinkler | $9.87
mop | $3.95
bucket | $7.89
broom | $3.95
watering can | $7.83
wrench | $5.15","{'Column 1': ['lawn sprinkler', 'mop', 'bucket', 'broom', 'watering can', 'wrench'], 'Column 2': ['$9.87', '$3.95', '$7.89', '$3.95', '$7.83', '$5.15']}",6,2,"Find the cost of 6 lawn sprinklers.

$9.87 × 6 = $59.22

Find the cost of 8 wrenches.

$5.15 × 8 = $41.20

Now find the total cost.

$59.22 + $41.20 = $100.42

Krysta needs $100.42.",free_text,decimal_number,8,train,2,15989
35910,"Look at the table. Then answer the question. At a price of $985, is there a shortage or a surplus?","['shortage', 'surplus']",shortage,,,"Price | Quantity demanded | Quantity supplied
$985 | 9,300 | 3,600
$1,115 | 8,100 | 7,600
$1,245 | 6,900 | 11,600
$1,375 | 5,700 | 15,600
$1,505 | 4,500 | 19,600","{'Price': ['$985', '$1,115', '$1,245', '$1,375', '$1,505'], 'Quantity demanded': ['9,300', '8,100', '6,900', '5,700', '4,500'], 'Quantity supplied': ['3,600', '7,600', '11,600', '15,600', '19,600']}",6,3,"At the price of $985, the quantity demanded is greater than the quantity supplied. There is not enough of the good or service for sale at that price. So, there is a shortage.
",multi_choice,boolean_text,5,train,3,11700
9233,Look at the following schedule. When does the train arrive at North Avenue?,"['12:50 P.M.', '1:55 P.M.', '3:05 P.M.', '12:00 P.M.']",1:55 P.M.,,Subway train schedule,"Location | Time
River Boulevard | 10:30 A.M.
Laurel Avenue | 11:20 A.M.
Lakeview Street | 11:55 A.M.
East Boulevard | 12:00 P.M.
Forest Avenue | 12:50 P.M.
Cherry Street | 1:10 P.M.
Maple Street | 1:35 P.M.
North Avenue | 1:55 P.M.
Smith Boulevard | 2:40 P.M.
Lincoln Road | 3:05 P.M.","{'Location': ['River Boulevard', 'Laurel Avenue', 'Lakeview Street', 'East Boulevard', 'Forest Avenue', 'Cherry Street', 'Maple Street', 'North Avenue', 'Smith Boulevard', 'Lincoln Road'], 'Time': ['10:30 A.M.', '11:20 A.M.', '11:55 A.M.', '12:00 P.M.', '12:50 P.M.', '1:10 P.M.', '1:35 P.M.', '1:55 P.M.', '2:40 P.M.', '3:05 P.M.']}",11,2,"Find North Avenue on the schedule. Find the arrival time for North Avenue.

North Avenue: 1:55 P. M.",multi_choice,extractive_text,3,train,4,10271
32400,Each shelf has 5 pens. How many pens are on 5 shelves?,,25,,,"Number of shelves | Number of pens
1 | 5
2 | 10
3 | 15
4 | 20
5 | ?","{'Number of shelves': ['1', '2', '3', '4', '5'], 'Number of pens': ['5', '10', '15', '20', '?']}",6,2,Count by fives. Use the chart: there are 25 pens on 5 shelves.,free_text,integer_number,2,train,0,7596
37461,Miranda measured the length of each scarf in the clothing store where she works. How many scarves are less than 100 centimeters?,,21,scarves,Scarf lengths (centimeters),"Stem | Leaf 
6 | 9
7 | 0, 1, 2, 3, 3, 4, 5, 6, 7, 7, 7, 8
8 | 4, 4, 5, 5, 6, 8, 9
9 | 0","{'Stem': ['6', '7', '8', '9'], 'Leaf ': ['9', '0, 1, 2, 3, 3, 4, 5, 6, 7, 7, 7, 8', '4, 4, 5, 5, 6, 8, 9', '0']}",5,2,"Count all the leaves in the rows with stems 6, 7, 8, and 9.

You counted 21 leaves, which are blue in the stem-and-leaf plot above. 21 scarves are less than 100 centimeters.",free_text,integer_number,8,train,1,15260
33658,Simon has $12. Does he have enough to buy a rolling pin and a mixing bowl?,"['yes', 'no']",no,,,"glass measuring cup | $8
baking dish | $6
mixing bowl | $8
cookie jar | $9
rolling pin | $5","{'Column 1': ['glass measuring cup', 'baking dish', 'mixing bowl', 'cookie jar', 'rolling pin'], 'Column 2': ['$8', '$6', '$8', '$9', '$5']}",5,2,"Add the price of a rolling pin and the price of a mixing bowl:

$5 + $8 = $13

$13 is more than $12. Simon does not have enough money.",multi_choice,boolean_text,3,train,2,3018
33789,"Look at the table. Then answer the question. At a price of $680, is there a shortage or a surplus?","['shortage', 'surplus']",shortage,,,"Price | Quantity demanded | Quantity supplied
$680 | 13,200 | 1,300
$760 | 10,300 | 5,600
$840 | 7,400 | 9,900
$920 | 4,500 | 14,200
$1,000 | 1,600 | 18,500","{'Price': ['$680', '$760', '$840', '$920', '$1,000'], 'Quantity demanded': ['13,200', '10,300', '7,400', '4,500', '1,600'], 'Quantity supplied': ['1,300', '5,600', '9,900', '14,200', '18,500']}",6,3,"At the price of $680, the quantity demanded is greater than the quantity supplied. There is not enough of the good or service for sale at that price. So, there is a shortage.
",multi_choice,boolean_text,5,train,3,11237
